keyword,language,country,timeRange,trend,interestScore,relatedQueries,source,lastChecked,sourceUrl,trendType,change,sourceFile,topicCluster,isRelevant
ai generated content,en,US,2026-05-08..2026-06-08,rising,99,,google_trends_manual,2026-06-08,,top,30%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai image generator,en,US,2026-05-08..2026-06-08,rising,84,,google_trends_manual,2026-06-08,,rising,6%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
ai image generator,en,US,2026-05-08..2026-06-08,rising,84,,google_trends_manual,2026-06-08,,top,6%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
ai image generator free,en,US,2026-05-08..2026-06-08,falling,17,,google_trends_manual,2026-06-08,,rising,-30%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
ai image generator free,en,US,2026-05-08..2026-06-08,falling,17,,google_trends_manual,2026-06-08,,top,-30%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
ai instagram post generator,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,rising,5%,searched_with_rising-searches_US_20260508-2027_20260608-2027(2).csv,instagram_carousel,True
ai instagram post generator,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,top,5%,searched_with_top-searches_US_20260508-2027_20260608-2027.csv,instagram_carousel,True
ai linkedin post generator,en,US,2026-05-08..2026-06-08,rising,32,,google_trends_manual,2026-06-08,,rising,50%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,linkedin_carousel,True
ai linkedin post generator,en,US,2026-05-08..2026-06-08,rising,100,,google_trends_manual,2026-06-08,,top,50%,searched_with_top-searches_US_20260508-2027_20260608-2027 (1).csv,linkedin_carousel,True
ai mode,en,US,2026-05-08..2026-06-08,rising,20,,google_trends_manual,2026-06-08,,rising,10%,searched_with_rising-searches_US_20260508-2025_20260608-2025(1).csv,ai_content,True
ai mode,en,US,2026-05-08..2026-06-08,rising,20,,google_trends_manual,2026-06-08,,top,10%,searched_with_top-searches_US_20260508-2025_20260608-2025 (1)(2).csv,ai_content,True
ai music generator,en,US,2026-05-08..2026-06-08,falling,20,,google_trends_manual,2026-06-08,,rising,-40%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
ai music generator,en,US,2026-05-08..2026-06-08,falling,20,,google_trends_manual,2026-06-08,,top,-40%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
ai photo generator,en,US,2026-05-08..2026-06-08,falling,15,,google_trends_manual,2026-06-08,,rising,-1%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,False
ai photo generator,en,US,2026-05-08..2026-06-08,falling,15,,google_trends_manual,2026-06-08,,top,-1%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,False
ai picture generator,en,US,2026-05-08..2026-06-08,breakout,15,,google_trends_manual,2026-06-08,,rising,Breakout,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,True
ai picture generator,en,US,2026-05-08..2026-06-08,breakout,15,,google_trends_manual,2026-06-08,,top,Breakout,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,True
ai post generator free,en,US,2026-05-08..2026-06-08,falling,80,,google_trends_manual,2026-06-08,,rising,-7%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,social_content,True
ai post generator free,en,US,2026-05-08..2026-06-08,falling,80,,google_trends_manual,2026-06-08,,top,-7%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,social_content,True
ai poster generator,en,US,2026-05-08..2026-06-08,falling,1,,google_trends_manual,2026-06-08,,rising,-70%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,ai_content,True
ai poster generator,en,US,2026-05-08..2026-06-08,falling,1,,google_trends_manual,2026-06-08,,top,-70%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,ai_content,True
ai social media post generator,en,US,2026-05-08..2026-06-08,rising,38,,google_trends_manual,2026-06-08,,rising,2%,searched_with_rising-searches_US_20260508-2026_20260608-2026 (1)(2).csv,social_content,True
ai social media post generator,en,US,2026-05-08..2026-06-08,rising,38,,google_trends_manual,2026-06-08,,top,2%,searched_with_top-searches_US_20260508-2026_20260608-2026 (1)(1).csv,social_content,True
